# V3.1.4 AssignIds id	name: full client dump ZDTD_DUMP_BLOCK_IDS (2026-07-22).
# Pins verified: treeDeadTree02=24626 cntWoodenChestClosed=18671 terrStone=1.
# Source: stock client AssignIds Postfix; do NOT merge stale world saves.
0	air
1	terrStone
2	terrainFiller
3	terrainFillerAdaptive
4	terrBedrock
5	terrDirt
6	terrDirtTwitch
7	terrForestGround
8	terrBurntForestGround
9	terrDesertGround
10	terrSand
11	terrSandStone
12	terrSnow
13	terrTopSoil
14	terrDestroyedStone
15	terrDestroyedWoodDebris
16	terrGravel
17	terrAsphalt
18	terrConcrete
19	terrOreIron
20	terrOreLead
21	terrOreCoal
22	terrOrePotassiumNitrate
23	terrOreOilDeposit
24	terrOreStoneIronRandom
25	terrOreStoneLeadRandom
26	terrOreStoneCoalRandom
27	terrOreStonePotassiumRandom
28	terrOreStoneOilRandom
29	terrStoneHelper
30	terrDestroyedGrass
240	water
241	terrWaterPOI
242	waterdata
256	waterMovingBucket
257	waterStaticBucket
258	waterMoving
259	woodShapes:cube
260	woodShapes:cubeFrame
261	woodShapes:cubeHalfInsideCorner
262	woodShapes:cubeThreeQuarter
263	woodShapes:cube1mHole
264	woodShapes:cube1mHoleFilled
265	woodShapes:cube1mHoleFilledCentered
266	woodShapes:cubeHalf1mHole
267	woodShapes:cubeHalf1mHoleFilled
268	woodShapes:cubeHalfCorner
269	woodShapes:cubeHalfCorner2
270	woodShapes:cubeHalfCornerInclineFillerLeft
271	woodShapes:cubeHalfCornerInclineFillerRight
272	woodShapes:cubeHalfCornerTopPlate01
273	woodShapes:cubeHalfCornerTopPlate02
274	woodShapes:cubeHalf
275	woodShapes:cubeHalfCentered
276	woodShapes:cubeHalfPoleSquare
277	woodShapes:cubeHalfPoleSquareCorner
278	woodShapes:cubeHalfPoleSquareCornerLeft
279	woodShapes:cubeHalfPoleSquareCornerRight
280	woodShapes:cubeHalfPoleSquareCorner3Way
281	woodShapes:cube0.25m
282	woodShapes:cubeCornerBeveled
283	woodShapes:cubeCornerBeveledOutsideCorner
284	woodShapes:cubeCornerBeveledCorner
285	woodShapes:cubeBeveledCorner
